Allele	BestAln	percScore
A_01:01	A_01:01	1
A_01:03	A_01:03	1
A_01:06	A_01:06	1
A_01:09	A_01:09	1
A_01:12	A_01:12	1
A_01:14	A_01:14	1
A_01:17	A_01:17	1
A_01:20	A_01:20	1
A_01:23	A_01:23	1
A_01:25	A_01:25	1
A_01:29	A_01:29	1
A_01:37	A_01:37	1
A_01:43	A_01:43	1
A_01:69	A_01:69	1
A_01:82	A_01:82	1
A_01:88	A_01:88	1
A_01:128	A_01:128	1
A_01:137	A_01:137	1
A_01:140	A_01:140	1
A_01:148	A_01:148	1
A_01:156	A_01:156	1
A_01:165	A_01:165	1
A_01:172	A_01:172	1
A_01:190	A_01:190	1
A_01:191	A_01:191	1
A_01:194	A_01:194	1
A_01:196	A_01:196	1
A_01:198	A_01:198	1
A_01:208	A_01:208	1
A_01:210	A_01:210	1
A_01:212	A_01:212	1
A_01:214	A_01:214	1
A_01:215	A_01:215	1
A_01:216	A_01:216	1
A_01:218	A_01:218	1
A_01:219	A_01:219	1
A_01:220	A_01:220	1
A_01:221	A_01:221	1
A_01:222	A_01:222	1
A_01:223	A_01:223	1
A_01:224	A_01:224	1
A_01:225	A_01:225	1
A_01:226	A_01:226	1
A_01:227	A_01:227	1
A_01:229	A_01:229	1
A_01:232	A_01:232	1
A_01:234	A_01:234	1
A_01:237	A_01:237	1
A_01:241	A_01:241	1
A_01:243	A_01:243	1
A_01:245	A_01:245	1
A_01:246	A_01:246	1
A_01:249	A_01:249	1
A_01:251	A_01:251	1
A_01:252	A_01:252	1
A_01:253	A_01:253	1
A_01:254	A_01:254	1
A_01:255	A_01:255	1
A_01:256	A_01:256	1
A_01:257	A_01:257	1
A_01:259	A_01:259	1
A_01:260	A_01:260	1
A_01:261	A_01:261	1
A_01:262	A_01:262	1
A_01:263	A_01:263	1
A_01:264	A_01:264	1
A_01:265	A_01:265	1
A_01:266	A_01:266	1
A_01:267	A_01:267	1
A_01:268	A_01:268	1
A_01:270	A_01:270	1
A_01:271	A_01:271	1
A_01:272	A_01:272	1
A_01:273	A_01:273	1
A_01:274	A_01:274	1
A_01:275	A_01:275	1
A_01:276	A_01:276	1
A_01:277	A_01:277	1
A_01:278	A_01:278	1
A_01:279	A_01:279	1
A_01:280	A_01:280	1
A_01:282	A_01:282	1
A_01:283	A_01:283	1
A_01:284	A_01:284	1
A_01:286	A_01:286	1
A_01:288	A_01:288	1
A_01:291	A_01:291	1
A_01:292	A_01:292	1
A_01:294	A_01:294	1
A_01:295	A_01:295	1
A_01:296	A_01:296	1
A_01:297	A_01:297	1
A_01:298	A_01:298	1
A_01:299	A_01:299	1
A_01:300	A_01:300	1
A_01:301	A_01:301	1
A_01:303	A_01:303	1
A_01:304	A_01:304	1
A_01:305	A_01:305	1
A_01:306	A_01:306	1
A_01:307	A_01:307	1
A_01:309	A_01:309	1
A_01:310	A_01:310	1
A_01:311	A_01:311	1
A_01:312	A_01:312	1
A_01:313	A_01:313	1
A_01:314	A_01:314	1
A_01:315	A_01:315	1
A_01:316	A_01:316	1
A_01:317	A_01:317	1
A_01:318	A_01:318	1
A_01:321	A_01:321	1
A_01:322	A_01:322	1
A_01:323	A_01:323	1
A_01:324	A_01:324	1
A_01:325	A_01:325	1
A_01:327	A_01:327	1
A_01:329	A_01:329	1
A_01:330	A_01:330	1
A_01:332	A_01:332	1
A_01:333	A_01:333	1
A_01:334	A_01:334	1
A_01:335	A_01:335	1
A_01:337	A_01:337	1
A_01:338	A_01:338	1
A_01:339	A_01:339	1
A_01:340	A_01:340	1
A_01:341	A_01:341	1
A_01:342	A_01:342	1
A_01:343	A_01:343	1
A_01:344	A_01:344	1
A_01:345	A_01:345	1
A_01:346	A_01:346	1
A_01:347	A_01:347	1
A_01:349	A_01:349	1
A_01:350	A_01:350	1
A_01:351	A_01:351	1
A_01:352	A_01:352	1
A_01:353	A_01:353	1
A_01:354	A_01:354	1
A_01:356	A_01:356	1
A_01:357	A_01:357	1
A_01:358	A_01:358	1
A_01:360	A_01:360	1
A_01:362	A_01:362	1
A_01:363	A_01:363	1
A_01:364	A_01:364	1
A_01:365	A_01:365	1
A_01:366	A_01:366	1
A_01:367	A_01:367	1
A_01:368	A_01:368	1
A_01:369	A_01:369	1
A_01:370	A_01:370	1
A_01:371	A_01:371	1
A_01:372	A_01:372	1
A_01:373	A_01:373	1
A_01:374	A_01:374	1
A_01:375	A_01:375	1
A_01:376	A_01:376	1
A_01:377	A_01:377	1
A_02:01	A_02:01	1
A_02:02	A_02:02	1
A_02:03	A_02:03	1
A_02:04	A_02:04	1
A_02:05	A_02:05	1
A_02:06	A_02:06	1
A_02:07	A_02:07	1
A_02:08	A_02:08	1
A_02:09	A_02:09	1
A_02:10	A_02:10	1
A_02:11	A_02:11	1
A_02:12	A_02:12	1
A_02:13	A_02:13	1
A_02:14	A_02:14	1
A_02:16	A_02:16	1
A_02:17	A_02:17	1
A_02:18	A_02:18	1
A_02:19	A_02:19	1
A_02:20	A_02:20	1
A_02:21	A_02:21	1
A_02:22	A_02:22	1
A_02:24	A_02:24	1
A_02:26	A_02:26	1
A_02:27	A_02:27	1
A_02:29	A_02:29	1
A_02:30	A_02:30	1
A_02:33	A_02:33	1
A_02:34	A_02:34	1
A_02:35	A_02:35	1
A_02:36	A_02:36	1
A_02:38	A_02:38	1
A_02:39	A_02:39	1
A_02:42	A_02:42	1
A_02:44	A_02:44	1
A_02:47	A_02:47	1
A_02:48	A_02:48	1
A_02:49	A_02:49	1
A_02:51	A_02:51	1
A_02:52	A_02:52	1
A_02:54	A_02:54	1
A_02:56	A_02:56	1
A_02:57	A_02:57	1
A_02:58	A_02:58	1
A_02:60	A_02:60	1
A_02:61	A_02:61	1
A_02:63	A_02:63	1
A_02:64	A_02:64	1
A_02:65	A_02:65	1
A_02:66	A_02:66	1
A_02:67	A_02:67	1
A_02:68	A_02:68	1
A_02:74	A_02:74	1
A_02:76	A_02:76	1
A_02:77	A_02:77	1
A_02:79	A_02:79	1
A_02:81	A_02:81	1
A_02:85	A_02:85	1
A_02:86	A_02:86	1
A_02:87	A_02:87	1
A_02:89	A_02:89	1
A_02:90	A_02:90	1
A_02:92	A_02:92	1
A_02:93	A_02:93	1
A_02:95	A_02:95	1
A_02:96	A_02:96	1
A_02:99	A_02:99	1
A_02:101	A_02:101	1
A_02:105	A_02:105	1
A_02:115	A_02:115	1
A_02:122	A_02:122	1
A_02:123	A_02:123	1
A_02:124	A_02:124	1
A_02:131	A_02:131	1
A_02:136	A_02:136	1
A_02:137	A_02:137	1
A_02:140	A_02:140	1
A_02:150	A_02:150	1
A_02:151	A_02:151	1
A_02:152	A_02:152	1
A_02:158	A_02:158	1
A_02:161	A_02:161	1
A_02:164	A_02:164	1
A_02:177	A_02:177	1
A_02:183	A_02:183	1
A_02:189	A_02:189	1
A_02:190	A_02:190	1
A_02:193	A_02:193	1
A_02:194	A_02:194	1
A_02:197	A_02:197	1
A_02:200	A_02:200	1
A_02:202	A_02:202	1
A_02:209	A_02:209	1
A_02:211	A_02:211	1
A_02:230	A_02:230	1
A_02:233	A_02:233	1
A_02:241	A_02:241	1
A_02:242	A_02:242	1
A_02:243	A_02:243	1
A_02:249	A_02:249	1
A_02:251	A_02:251	1
A_02:252	A_02:252	1
A_02:253	A_02:253	1
A_02:259	A_02:259	1
A_02:264	A_02:264	1
A_02:265	A_02:265	1
A_02:266	A_02:266	1
A_02:269	A_02:269	1
A_02:279	A_02:279	1
A_02:281	A_02:281	1
A_02:291	A_02:291	1
A_02:296	A_02:296	1
A_02:313	A_02:313	1
A_02:325	A_02:325	1
A_02:376	A_02:376	1
A_02:380	A_02:380	1
A_02:409	A_02:409	1
A_02:455	A_02:455	1
A_02:481	A_02:481	1
A_02:498	A_02:498	1
A_02:524	A_02:524	1
A_02:528	A_02:528	1
A_02:533	A_02:533	1
A_02:538	A_02:538	1
A_02:545	A_02:545	1
A_02:549	A_02:549	1
A_02:552	A_02:552	1
A_02:562	A_02:562	1
A_02:564	A_02:564	1
A_02:570	A_02:570	1
A_02:572	A_02:572	1
A_02:591	A_02:591	1
A_02:597	A_02:597	1
A_02:602	A_02:602	1
A_02:603	A_02:603	1
A_02:610	A_02:610	1
A_02:619	A_02:619	1
A_02:620	A_02:620	1
A_02:635	A_02:635	1
A_02:640	A_02:640	1
A_02:642	A_02:642	1
A_02:645	A_02:645	1
A_02:646	A_02:646	1
A_02:647	A_02:647	1
A_02:648	A_02:648	1
A_02:649	A_02:649	1
A_02:650	A_02:650	1
A_02:651	A_02:651	1
A_02:655	A_02:655	1
A_02:656	A_02:656	1
A_02:657	A_02:657	1
A_02:658	A_02:658	1
A_02:659	A_02:659	1
A_02:660	A_02:660	1
A_02:661	A_02:661	1
A_02:662	A_02:662	1
A_02:664	A_02:664	1
A_02:665	A_02:665	1
A_02:681	A_02:681	1
A_02:683	A_02:683	1
A_02:685	A_02:685	1
A_02:686	A_02:686	1
A_02:688	A_02:688	1
A_02:689	A_02:689	1
A_02:690	A_02:690	1
A_02:695	A_02:695	1
A_02:703	A_02:703	1
A_02:704	A_02:704	1
A_02:705	A_02:705	1
A_02:707	A_02:707	1
A_02:709	A_02:709	1
A_02:711	A_02:711	1
A_02:713	A_02:713	1
A_02:716	A_02:716	1
A_02:717	A_02:717	1
A_02:718	A_02:718	1
A_02:719	A_02:719	1
A_02:720	A_02:720	1
A_02:721	A_02:721	1
A_02:722	A_02:722	1
A_02:724	A_02:724	1
A_02:725	A_02:725	1
A_02:726	A_02:726	1
A_02:727	A_02:727	1
A_02:728	A_02:728	1
A_02:729	A_02:729	1
A_02:730	A_02:730	1
A_02:731	A_02:731	1
A_02:732	A_02:732	1
A_02:733	A_02:733	1
A_02:734	A_02:734	1
A_02:735	A_02:735	1
A_02:736	A_02:736	1
A_02:737	A_02:737	1
A_02:738	A_02:738	1
A_02:739	A_02:739	1
A_02:740	A_02:740	1
A_02:741	A_02:741	1
A_02:742	A_02:742	1
A_02:743	A_02:743	1
A_02:744	A_02:744	1
A_02:745	A_02:745	1
A_02:746	A_02:746	1
A_02:747	A_02:747	1
A_02:749	A_02:749	1
A_02:750	A_02:750	1
A_02:751	A_02:751	1
A_02:752	A_02:752	1
A_02:753	A_02:753	1
A_02:754	A_02:754	1
A_02:755	A_02:755	1
A_02:756	A_02:756	1
A_02:757	A_02:757	1
A_02:759	A_02:759	1
A_02:761	A_02:761	1
A_02:762	A_02:762	1
A_02:763	A_02:763	1
A_02:764	A_02:764	1
A_02:765	A_02:765	1
A_02:766	A_02:766	1
A_02:767	A_02:767	1
A_02:768	A_02:768	1
A_02:769	A_02:769	1
A_02:770	A_02:770	1
A_02:771	A_02:771	1
A_02:772	A_02:772	1
